# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
   4600      3.00e-01    3.29e-01      3.57e-04    5.16e-04      8.45e-03    8.72e-03      1.89e-01    2.07e-01    2.5e-06
   4700      2.94e-01    3.22e-01      4.34e-04    3.89e-04      8.46e-03    8.45e-03      1.85e-01    2.03e-01    2.5e-06
   4800      3.18e-01    3.24e-01      4.32e-04    3.83e-04      8.59e-03    8.75e-03      2.01e-01    2.04e-01    2.5e-06
   4900      3.10e-01    2.92e-01      2.81e-04    4.23e-04      8.50e-03    8.39e-03      1.95e-01    1.84e-01    2.5e-06
   5000      3.23e-01    3.14e-01      5.24e-04    4.24e-04      8.97e-03    8.58e-03      2.04e-01    1.98e-01    2.5e-06
   5100      4.20e-01    3.22e-01      6.48e-04    3.89e-04      8.42e-03    8.69e-03      2.66e-01    2.03e-01    2.5e-06
   5200      3.08e-01    2.94e-01      3.52e-04    2.41e-04      8.51e-03    8.42e-03      1.94e-01    1.85e-01    2.5e-06
   5300      3.04e-01    2.85e-01      4.72e-04    4.35e-04      8.79e-03    8.53e-03      1.91e-01    1.79e-01    2.5e-06
   5400      3.01e-01    2.99e-01      4.38e-04    3.12e-04      8.61e-03    8.58e-03      1.90e-01    1.88e-01    2.5e-06
   5500      2.99e-01    2.91e-01      3.75e-04    3.37e-04      8.64e-03    8.63e-03      1.88e-01    1.83e-01    2.5e-06
   5600      3.05e-01    2.82e-01      3.38e-04    3.17e-04      8.68e-03    8.54e-03      1.92e-01    1.78e-01    2.5e-06
   5700      3.14e-01    2.78e-01      4.19e-04    4.49e-04      8.75e-03    8.69e-03      1.98e-01    1.75e-01    2.5e-06
   5800      3.33e-01    3.23e-01      5.25e-04    3.54e-04      8.96e-03    8.91e-03      2.10e-01    2.04e-01    2.5e-06
   5900      3.09e-01    3.10e-01      3.41e-04    3.74e-04      8.61e-03    8.58e-03      1.95e-01    1.95e-01    2.5e-06
   6000      2.76e-01    2.64e-01      4.14e-04    2.35e-04      8.99e-03    8.66e-03      1.74e-01    1.66e-01    4.0e-07
   6100      3.43e-01    2.90e-01      4.08e-04    3.36e-04      8.83e-03    8.99e-03      2.16e-01    1.83e-01    4.0e-07
   6200      2.94e-01    3.84e-01      3.96e-04    5.23e-04      8.64e-03    8.96e-03      1.85e-01    2.42e-01    4.0e-07
   6300      3.01e-01    2.67e-01      3.46e-04    3.06e-04      8.58e-03    8.90e-03      1.89e-01    1.68e-01    4.0e-07
   6400      2.87e-01    3.11e-01      3.12e-04    3.97e-04      9.11e-03    8.92e-03      1.81e-01    1.96e-01    4.0e-07
   6500      3.31e-01    3.09e-01      4.90e-04    2.80e-04      9.18e-03    8.80e-03      2.09e-01    1.94e-01    4.0e-07
   6600      3.53e-01    2.90e-01      4.27e-04    3.38e-04      9.04e-03    8.85e-03      2.22e-01    1.83e-01    4.0e-07
   6700      2.90e-01    3.13e-01      3.76e-04    3.96e-04      9.09e-03    9.01e-03      1.82e-01    1.97e-01    4.0e-07
   6800      2.60e-01    4.24e-01      3.26e-04    5.99e-04      9.26e-03    9.42e-03      1.64e-01    2.67e-01    4.0e-07
   6900      2.71e-01    3.11e-01      2.40e-04    2.88e-04      9.34e-03    9.27e-03      1.71e-01    1.96e-01    4.0e-07
   7000      2.76e-01    2.89e-01      2.68e-04    3.36e-04      9.29e-03    9.42e-03      1.73e-01    1.82e-01    4.0e-07
   7100      2.72e-01    2.99e-01      2.97e-04    4.73e-04      9.52e-03    9.60e-03      1.71e-01    1.88e-01    4.0e-07
   7200      3.26e-01    2.87e-01      3.93e-04    4.04e-04      9.45e-03    9.21e-03      2.05e-01    1.81e-01    4.0e-07
   7300      4.15e-01    2.77e-01      6.77e-04    3.58e-04      9.77e-03    9.46e-03      2.61e-01    1.74e-01    4.0e-07
   7400      2.93e-01    2.94e-01      2.15e-04    4.16e-04      9.53e-03    9.51e-03      1.84e-01    1.85e-01    4.0e-07
   7500      3.12e-01    4.67e-01      3.69e-04    4.09e-04      9.25e-03    1.02e-02      1.97e-01    2.95e-01    4.0e-07
   7600      2.46e-01    3.56e-01      3.39e-04    3.80e-04      9.89e-03    9.82e-03      1.55e-01    2.24e-01    4.0e-07
   7700      3.55e-01    3.20e-01      3.27e-04    3.88e-04      9.79e-03    1.00e-02      2.24e-01    2.01e-01    4.0e-07
   7800      2.66e-01    3.20e-01      2.92e-04    2.61e-04      9.50e-03    9.64e-03      1.67e-01    2.02e-01    4.0e-07
   7900      3.10e-01    2.92e-01      2.71e-04    2.78e-04      1.00e-02    9.72e-03      1.95e-01    1.84e-01    4.0e-07
   8000      2.84e-01    3.13e-01      4.39e-04    3.35e-04      9.74e-03    1.04e-02      1.79e-01    1.97e-01    6.3e-08
   8100      4.45e-01    3.96e-01      1.25e-03    1.06e-03      1.01e-02    9.95e-03      2.80e-01    2.49e-01    6.3e-08
   8200      2.94e-01    3.36e-01      3.70e-04    3.48e-04      9.97e-03    1.03e-02      1.85e-01    2.12e-01    6.3e-08
   8300      3.34e-01    3.79e-01      4.03e-04    3.90e-04      1.00e-02    1.04e-02      2.10e-01    2.39e-01    6.3e-08
   8400      3.01e-01    3.03e-01      3.69e-04    2.30e-04      9.73e-03    1.01e-02      1.90e-01    1.91e-01    6.3e-08
   8500      3.82e-01    2.80e-01      4.65e-04    3.64e-04      1.01e-02    9.99e-03      2.41e-01    1.76e-01    6.3e-08
   8600      3.10e-01    3.14e-01      3.65e-04    4.25e-04      1.01e-02    1.05e-02      1.95e-01    1.97e-01    6.3e-08
   8700      3.05e-01    2.96e-01      3.30e-04    4.06e-04      1.03e-02    9.94e-03      1.92e-01    1.86e-01    6.3e-08
   8800      3.44e-01    3.00e-01      3.83e-04    3.82e-04      1.02e-02    1.01e-02      2.17e-01    1.89e-01    6.3e-08
   8900      2.74e-01    2.87e-01      2.90e-04    2.46e-04      9.65e-03    1.06e-02      1.72e-01    1.81e-01    6.3e-08
   9000      3.85e-01    3.70e-01      4.44e-04    4.95e-04      1.03e-02    1.05e-02      2.42e-01    2.33e-01    6.3e-08
   9100      3.06e-01    2.56e-01      3.83e-04    3.14e-04      9.98e-03    1.01e-02      1.93e-01    1.61e-01    6.3e-08
   9200      3.67e-01    2.79e-01      4.22e-04    3.06e-04      1.01e-02    1.01e-02      2.31e-01    1.76e-01    6.3e-08
   9300      2.43e-01    3.02e-01      3.84e-04    3.00e-04      1.01e-02    1.03e-02      1.53e-01    1.90e-01    6.3e-08
   9400      3.13e-01    3.23e-01      3.37e-04    3.14e-04      1.00e-02    1.03e-02      1.97e-01    2.03e-01    6.3e-08
   9500      2.77e-01    2.86e-01      3.08e-04    3.47e-04      9.98e-03    1.02e-02      1.74e-01    1.80e-01    6.3e-08
   9600      3.17e-01    2.86e-01      3.41e-04    2.97e-04      1.03e-02    1.02e-02      2.00e-01    1.80e-01    6.3e-08
   9700      4.38e-01    3.29e-01      7.44e-04    2.90e-04      1.06e-02    1.01e-02      2.76e-01    2.07e-01    6.3e-08
   9800      3.49e-01    3.45e-01      4.34e-04    2.99e-04      1.02e-02    1.03e-02      2.20e-01    2.17e-01    6.3e-08
   9900      3.11e-01    2.68e-01      4.63e-04    2.83e-04      1.02e-02    1.02e-02      1.96e-01    1.69e-01    6.3e-08
  10000      3.09e-01    2.71e-01      4.45e-04    2.93e-04      1.04e-02    1.02e-02      1.94e-01    1.70e-01    1.0e-08
