# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  25600      2.54e-02    2.51e-02      4.58e-04    4.72e-04      9.27e-03    9.10e-03    5.9e-06
  25700      2.79e-02    2.71e-02      9.68e-04    7.31e-04      8.87e-03    9.32e-03    5.9e-06
  25800      2.45e-02    2.57e-02      3.87e-04    3.98e-04      9.03e-03    9.49e-03    5.9e-06
  25900      2.48e-02    2.84e-02      4.82e-04    8.84e-04      8.97e-03    9.38e-03    5.9e-06
  26000      2.49e-02    2.61e-02      4.37e-04    6.07e-04      9.10e-03    9.23e-03    5.9e-06
  26100      2.49e-02    2.47e-02      3.18e-04    4.11e-04      9.25e-03    9.05e-03    5.9e-06
  26200      2.58e-02    2.46e-02      4.02e-04    2.88e-04      9.51e-03    9.18e-03    5.9e-06
  26300      2.40e-02    2.51e-02      3.18e-04    3.94e-04      8.91e-03    9.25e-03    5.9e-06
  26400      2.46e-02    2.50e-02      3.44e-04    3.49e-04      9.14e-03    9.25e-03    5.9e-06
  26500      2.62e-02    2.44e-02      6.48e-04    3.06e-04      9.18e-03    9.09e-03    5.9e-06
  26600      2.61e-02    2.45e-02      5.47e-04    3.50e-04      9.36e-03    9.07e-03    5.9e-06
  26700      2.55e-02    2.51e-02      4.96e-04    4.01e-04      9.20e-03    9.23e-03    5.9e-06
  26800      2.51e-02    2.59e-02      4.55e-04    5.69e-04      9.16e-03    9.24e-03    5.9e-06
  26900      2.69e-02    2.41e-02      6.54e-04    3.49e-04      9.42e-03    8.91e-03    5.9e-06
  27000      2.66e-02    2.44e-02      6.19e-04    1.83e-04      9.39e-03    9.21e-03    5.9e-06
  27100      2.64e-02    2.66e-02      6.62e-04    5.90e-04      9.20e-03    9.47e-03    5.9e-06
  27200      2.48e-02    2.49e-02      3.63e-04    3.16e-04      9.18e-03    9.25e-03    5.9e-06
  27300      2.54e-02    2.69e-02      5.08e-04    6.91e-04      9.16e-03    9.34e-03    5.9e-06
  27400      2.55e-02    2.61e-02      4.80e-04    6.34e-04      9.26e-03    9.17e-03    5.9e-06
  27500      2.47e-02    2.43e-02      3.32e-04    3.61e-04      9.17e-03    8.97e-03    5.9e-06
  27600      2.50e-02    2.41e-02      4.45e-04    2.66e-04      9.11e-03    9.03e-03    5.9e-06
  27700      2.54e-02    2.57e-02      4.91e-04    4.93e-04      9.20e-03    9.31e-03    5.9e-06
  27800      2.50e-02    2.54e-02      4.53e-04    4.55e-04      9.12e-03    9.27e-03    5.9e-06
  27900      2.57e-02    2.45e-02      5.84e-04    3.83e-04      9.14e-03    9.01e-03    5.9e-06
  28000      2.56e-02    2.48e-02      5.66e-04    3.11e-04      9.13e-03    9.25e-03    5.9e-06
  28100      2.53e-02    2.49e-02      3.92e-04    3.97e-04      9.34e-03    9.18e-03    5.9e-06
  28200      2.55e-02    2.51e-02      5.17e-04    4.94e-04      9.17e-03    9.08e-03    5.9e-06
  28300      2.62e-02    2.50e-02      6.56e-04    3.37e-04      9.13e-03    9.30e-03    5.9e-06
  28400      2.60e-02    2.51e-02      5.15e-04    4.35e-04      9.38e-03    9.16e-03    5.9e-06
  28500      2.58e-02    2.53e-02      6.10e-04    5.00e-04      9.10e-03    9.12e-03    5.9e-06
  28600      2.68e-02    2.61e-02      6.41e-04    5.68e-04      9.45e-03    9.32e-03    5.9e-06
  28700      2.49e-02    2.58e-02      4.04e-04    5.56e-04      9.16e-03    9.23e-03    5.9e-06
  28800      2.51e-02    2.56e-02      4.59e-04    5.38e-04      9.12e-03    9.17e-03    5.9e-06
  28900      2.41e-02    2.45e-02      3.06e-04    3.63e-04      8.98e-03    9.05e-03    5.9e-06
  29000      2.53e-02    2.45e-02      4.71e-04    2.80e-04      9.18e-03    9.16e-03    5.9e-06
  29100      2.49e-02    2.66e-02      3.64e-04    6.06e-04      9.20e-03    9.45e-03    5.9e-06
  29200      2.48e-02    2.59e-02      3.71e-04    4.94e-04      9.14e-03    9.39e-03    5.9e-06
  29300      2.48e-02    2.52e-02      3.60e-04    4.20e-04      9.18e-03    9.25e-03    5.9e-06
  29400      2.51e-02    2.44e-02      4.29e-04    2.99e-04      9.18e-03    9.10e-03    5.9e-06
  29500      2.45e-02    2.58e-02      3.55e-04    5.58e-04      9.06e-03    9.20e-03    5.9e-06
  29600      2.49e-02    2.54e-02      2.97e-04    4.45e-04      9.29e-03    9.27e-03    5.9e-06
  29700      2.96e-02    2.53e-02      1.05e-03    3.63e-04      9.31e-03    9.37e-03    5.9e-06
  29800      2.45e-02    2.69e-02      3.04e-04    6.55e-04      9.12e-03    9.43e-03    5.9e-06
  29900      2.61e-02    2.49e-02      5.65e-04    4.83e-04      9.34e-03    9.02e-03    5.9e-06
  30000      1.82e-02    1.76e-02      5.35e-04    4.49e-04      9.13e-03    9.09e-03    2.1e-06
  30100      1.69e-02    1.72e-02      2.87e-04    3.34e-04      9.23e-03    9.27e-03    2.1e-06
  30200      1.87e-02    1.75e-02      5.84e-04    3.16e-04      9.17e-03    9.46e-03    2.1e-06
  30300      1.77e-02    1.77e-02      4.34e-04    4.41e-04      9.20e-03    9.22e-03    2.1e-06
  30400      1.68e-02    1.73e-02      2.20e-04    3.45e-04      9.30e-03    9.26e-03    2.1e-06
  30500      1.73e-02    1.69e-02      3.75e-04    3.09e-04      9.18e-03    9.15e-03    2.1e-06
  30600      1.73e-02    1.81e-02      3.99e-04    4.95e-04      9.09e-03    9.24e-03    2.1e-06
  30700      1.85e-02    1.70e-02      5.05e-04    3.66e-04      9.44e-03    9.07e-03    2.1e-06
  30800      1.79e-02    1.82e-02      4.96e-04    5.16e-04      9.12e-03    9.19e-03    2.1e-06
  30900      1.84e-02    1.81e-02      4.89e-04    5.14e-04      9.47e-03    9.17e-03    2.1e-06
  31000      1.68e-02    1.70e-02      2.51e-04    2.80e-04      9.24e-03    9.26e-03    2.1e-06
  31100      1.91e-02    1.83e-02      6.46e-04    5.12e-04      9.12e-03    9.29e-03    2.1e-06
  31200      1.83e-02    1.74e-02      5.24e-04    3.41e-04      9.23e-03    9.34e-03    2.1e-06
  31300      1.80e-02    1.71e-02      5.25e-04    3.62e-04      9.02e-03    9.09e-03    2.1e-06
  31400      1.76e-02    1.75e-02      3.36e-04    4.04e-04      9.47e-03    9.24e-03    2.1e-06
  31500      1.85e-02    1.72e-02      5.24e-04    3.56e-04      9.36e-03    9.19e-03    2.1e-06
  31600      1.86e-02    1.75e-02      5.37e-04    3.69e-04      9.39e-03    9.35e-03    2.1e-06
  31700      1.66e-02    1.75e-02      2.80e-04    4.38e-04      9.08e-03    9.08e-03    2.1e-06
  31800      1.97e-02    1.76e-02      6.79e-04    4.07e-04      9.31e-03    9.25e-03    2.1e-06
  31900      1.68e-02    1.78e-02      3.28e-04    3.91e-04      9.04e-03    9.42e-03    2.1e-06
  32000      2.24e-02    1.66e-02      9.68e-04    2.83e-04      9.27e-03    9.03e-03    2.1e-06
  32100      1.76e-02    1.69e-02      3.80e-04    2.43e-04      9.36e-03    9.34e-03    2.1e-06
  32200      1.80e-02    2.27e-02      4.92e-04    9.80e-04      9.16e-03    9.35e-03    2.1e-06
  32300      1.81e-02    1.71e-02      5.16e-04    3.87e-04      9.16e-03    9.04e-03    2.1e-06
  32400      1.79e-02    1.71e-02      3.95e-04    3.10e-04      9.47e-03    9.26e-03    2.1e-06
  32500      1.70e-02    1.84e-02      3.73e-04    5.58e-04      9.01e-03    9.13e-03    2.1e-06
  32600      1.72e-02    1.71e-02      3.01e-04    3.20e-04      9.34e-03    9.27e-03    2.1e-06
  32700      1.75e-02    1.74e-02      4.89e-04    3.47e-04      8.91e-03    9.33e-03    2.1e-06
  32800      1.56e-01    1.54e-01      9.77e-03    9.63e-03      9.41e-03    9.19e-03    2.1e-06
  32900      7.47e-02    7.61e-02      4.60e-03    4.69e-03      9.18e-03    9.17e-03    2.1e-06
  33000      3.87e-02    4.02e-02      2.22e-03    2.30e-03      9.15e-03    9.62e-03    2.1e-06
  33100      2.30e-02    2.25e-02      1.02e-03    9.59e-04      9.22e-03    9.39e-03    2.1e-06
  33200      1.71e-02    1.82e-02      4.01e-04    5.45e-04      9.00e-03    9.10e-03    2.1e-06
  33300      1.73e-02    1.68e-02      4.20e-04    2.63e-04      9.02e-03    9.22e-03    2.1e-06
  33400      1.86e-02    1.71e-02      5.56e-04    2.83e-04      9.26e-03    9.32e-03    2.1e-06
  33500      1.69e-02    1.74e-02      2.39e-04    3.56e-04      9.32e-03    9.32e-03    2.1e-06
  33600      1.81e-02    1.67e-02      4.43e-04    2.32e-04      9.42e-03    9.19e-03    2.1e-06
  33700      1.71e-02    1.90e-02      2.80e-04    5.99e-04      9.33e-03    9.31e-03    2.1e-06
  33800      1.82e-02    1.72e-02      4.86e-04    3.32e-04      9.35e-03    9.26e-03    2.1e-06
  33900      1.80e-02    1.68e-02      4.91e-04    2.61e-04      9.17e-03    9.20e-03    2.1e-06
  34000      1.84e-02    1.70e-02      5.54e-04    3.87e-04      9.17e-03    8.95e-03    2.1e-06
  34100      1.70e-02    1.74e-02      2.95e-04    4.08e-04      9.25e-03    9.16e-03    2.1e-06
  34200      1.66e-02    1.69e-02      2.48e-04    3.26e-04      9.13e-03    9.10e-03    2.1e-06
  34300      2.23e-02    1.99e-02      9.39e-04    6.46e-04      9.41e-03    9.63e-03    2.1e-06
  34400      1.85e-02    1.71e-02      5.43e-04    3.12e-04      9.26e-03    9.28e-03    2.1e-06
  34500      1.79e-02    1.80e-02      4.20e-04    4.79e-04      9.40e-03    9.24e-03    2.1e-06
  34600      1.71e-02    1.65e-02      2.93e-04    2.86e-04      9.30e-03    8.96e-03    2.1e-06
  34700      1.71e-02    1.82e-02      3.00e-04    5.12e-04      9.28e-03    9.25e-03    2.1e-06
  34800      1.78e-02    1.70e-02      4.32e-04    3.95e-04      9.30e-03    8.97e-03    2.1e-06
  34900      1.71e-02    1.72e-02      3.05e-04    3.51e-04      9.31e-03    9.20e-03    2.1e-06
  35000      1.56e-02    1.32e-02      6.23e-04    2.84e-04      9.14e-03    9.32e-03    7.6e-07
  35100      1.36e-02    1.32e-02      3.63e-04    3.28e-04      9.24e-03    9.14e-03    7.6e-07
  35200      1.34e-02    1.29e-02      3.50e-04    2.57e-04      9.17e-03    9.20e-03    7.6e-07
  35300      1.41e-02    1.41e-02      4.66e-04    4.20e-04      9.06e-03    9.33e-03    7.6e-07
  35400      1.63e-02    1.45e-02      6.51e-04    4.67e-04      9.54e-03    9.42e-03    7.6e-07
  35500      1.32e-02    1.29e-02      3.06e-04    2.79e-04      9.27e-03    9.14e-03    7.6e-07
  35600      1.29e-02    1.63e-02      2.60e-04    6.57e-04      9.24e-03    9.47e-03    7.6e-07
  35700      1.61e-02    1.29e-02      6.56e-04    2.85e-04      9.22e-03    9.13e-03    7.6e-07
  35800      1.46e-02    1.38e-02      5.06e-04    4.09e-04      9.22e-03    9.16e-03    7.6e-07
  35900      1.58e-02    1.34e-02      6.10e-04    3.88e-04      9.40e-03    9.01e-03    7.6e-07
  36000      1.27e-02    1.38e-02      2.43e-04    3.85e-04      9.08e-03    9.34e-03    7.6e-07
  36100      1.39e-02    1.31e-02      4.21e-04    2.84e-04      9.16e-03    9.29e-03    7.6e-07
  36200      1.55e-02    1.30e-02      6.03e-04    2.59e-04      9.16e-03    9.26e-03    7.6e-07
  36300      1.43e-02    1.33e-02      4.55e-04    3.56e-04      9.31e-03    9.03e-03    7.6e-07
  36400      1.39e-02    1.63e-02      4.48e-04    6.77e-04      9.03e-03    9.28e-03    7.6e-07
  36500      1.31e-02    1.44e-02      3.28e-04    4.55e-04      9.05e-03    9.37e-03    7.6e-07
  36600      1.39e-02    1.30e-02      4.27e-04    2.89e-04      9.14e-03    9.18e-03    7.6e-07
  36700      1.40e-02    1.52e-02      4.36e-04    5.69e-04      9.13e-03    9.24e-03    7.6e-07
  36800      1.37e-02    1.56e-02      3.89e-04    5.81e-04      9.20e-03    9.51e-03    7.6e-07
  36900      1.33e-02    1.39e-02      3.40e-04    4.32e-04      9.18e-03    9.09e-03    7.6e-07
  37000      1.32e-02    1.43e-02      3.16e-04    4.47e-04      9.22e-03    9.32e-03    7.6e-07
  37100      1.42e-02    1.52e-02      4.44e-04    5.73e-04      9.26e-03    9.16e-03    7.6e-07
  37200      1.33e-02    1.33e-02      3.50e-04    2.98e-04      9.13e-03    9.39e-03    7.6e-07
  37300      1.53e-02    1.31e-02      5.79e-04    2.85e-04      9.25e-03    9.24e-03    7.6e-07
  37400      1.34e-02    1.33e-02      3.53e-04    3.31e-04      9.18e-03    9.23e-03    7.6e-07
  37500      1.32e-02    1.40e-02      2.43e-04    4.24e-04      9.54e-03    9.28e-03    7.6e-07
  37600      1.32e-02    1.46e-02      3.27e-04    5.01e-04      9.13e-03    9.19e-03    7.6e-07
  37700      1.53e-02    1.52e-02      5.75e-04    5.39e-04      9.28e-03    9.44e-03    7.6e-07
  37800      1.36e-02    1.32e-02      3.90e-04    2.79e-04      9.09e-03    9.35e-03    7.6e-07
  37900      1.74e-02    1.31e-02      7.64e-04    3.20e-04      9.39e-03    9.11e-03    7.6e-07
  38000      1.34e-02    1.32e-02      3.62e-04    2.54e-04      9.11e-03    9.45e-03    7.6e-07
  38100      1.41e-02    1.26e-02      4.70e-04    2.33e-04      9.06e-03    9.10e-03    7.6e-07
  38200      1.41e-02    1.26e-02      4.38e-04    2.55e-04      9.28e-03    9.03e-03    7.6e-07
  38300      1.40e-02    1.42e-02      4.40e-04    4.64e-04      9.13e-03    9.18e-03    7.6e-07
  38400      1.48e-02    1.51e-02      5.37e-04    5.36e-04      9.15e-03    9.39e-03    7.6e-07
  38500      1.27e-02    1.66e-02      2.57e-04    6.86e-04      9.10e-03    9.39e-03    7.6e-07
  38600      1.29e-02    1.34e-02      2.86e-04    3.60e-04      9.14e-03    9.16e-03    7.6e-07
  38700      1.38e-02    1.36e-02      3.66e-04    3.60e-04      9.46e-03    9.33e-03    7.6e-07
  38800      1.47e-02    1.32e-02      4.81e-04    3.04e-04      9.46e-03    9.25e-03    7.6e-07
  38900      1.51e-02    1.35e-02      5.52e-04    3.51e-04      9.25e-03    9.31e-03    7.6e-07
  39000      1.43e-02    1.37e-02      4.43e-04    3.55e-04      9.42e-03    9.41e-03    7.6e-07
  39100      1.30e-02    1.33e-02      2.91e-04    3.18e-04      9.14e-03    9.28e-03    7.6e-07
  39200      1.34e-02    1.30e-02      3.40e-04    2.64e-04      9.21e-03    9.28e-03    7.6e-07
  39300      1.50e-02    1.38e-02      5.47e-04    4.01e-04      9.18e-03    9.25e-03    7.6e-07
  39400      1.31e-02    1.51e-02      2.96e-04    5.73e-04      9.22e-03    9.12e-03    7.6e-07
  39500      1.31e-02    1.32e-02      2.69e-04    2.99e-04      9.36e-03    9.30e-03    7.6e-07
  39600      2.00e-02    1.37e-02      1.00e-03    4.21e-04      9.07e-03    9.04e-03    7.6e-07
  39700      1.39e-02    1.40e-02      3.85e-04    4.12e-04      9.43e-03    9.34e-03    7.6e-07
  39800      1.40e-02    1.32e-02      4.26e-04    3.42e-04      9.22e-03    9.06e-03    7.6e-07
  39900      1.41e-02    1.68e-02      4.01e-04    6.84e-04      9.44e-03    9.66e-03    7.6e-07
  40000      1.18e-02    1.23e-02      3.33e-04    4.16e-04      9.34e-03    9.22e-03    2.7e-07
  40100      1.18e-02    1.16e-02      3.77e-04    3.55e-04      9.03e-03    8.94e-03    2.7e-07
  40200      1.15e-02    1.20e-02      3.35e-04    3.67e-04      9.05e-03    9.30e-03    2.7e-07
  40300      1.16e-02    1.16e-02      3.38e-04    3.41e-04      9.09e-03    9.05e-03    2.7e-07
  40400      1.16e-02    1.32e-02      3.25e-04    5.23e-04      9.22e-03    9.14e-03    2.7e-07
  40500      1.19e-02    1.23e-02      3.63e-04    4.07e-04      9.18e-03    9.23e-03    2.7e-07
  40600      1.20e-02    1.10e-02      3.79e-04    2.38e-04      9.21e-03    9.14e-03    2.7e-07
  40700      1.23e-02    1.19e-02      4.34e-04    3.54e-04      9.08e-03    9.29e-03    2.7e-07
  40800      1.21e-02    1.15e-02      4.14e-04    3.10e-04      9.04e-03    9.23e-03    2.7e-07
  40900      1.11e-02    1.14e-02      2.53e-04    2.92e-04      9.17e-03    9.27e-03    2.7e-07
  41000      1.40e-02    1.38e-02      5.86e-04    5.54e-04      9.27e-03    9.45e-03    2.7e-07
  41100      1.16e-02    1.07e-02      3.09e-04    2.13e-04      9.33e-03    9.01e-03    2.7e-07
  41200      1.16e-02    1.23e-02      3.21e-04    4.12e-04      9.28e-03    9.25e-03    2.7e-07
  41300      1.25e-02    1.11e-02      4.35e-04    2.71e-04      9.25e-03    9.04e-03    2.7e-07
  41400      1.18e-02    1.14e-02      3.67e-04    3.09e-04      9.05e-03    9.16e-03    2.7e-07
  41500      1.35e-02    1.39e-02      5.43e-04    5.71e-04      9.21e-03    9.32e-03    2.7e-07
  41600      1.86e-02    1.45e-02      9.74e-04    6.14e-04      9.10e-03    9.48e-03    2.7e-07
  41700      1.29e-02    1.14e-02      4.49e-04    2.94e-04      9.50e-03    9.20e-03    2.7e-07
  41800      1.35e-02    1.18e-02      5.15e-04    3.49e-04      9.52e-03    9.23e-03    2.7e-07
  41900      1.22e-02    1.26e-02      4.00e-04    4.41e-04      9.23e-03    9.24e-03    2.7e-07
  42000      1.20e-02    1.21e-02      3.87e-04    4.17e-04      9.14e-03    8.97e-03    2.7e-07
  42100      1.23e-02    1.12e-02      4.23e-04    2.67e-04      9.16e-03    9.22e-03    2.7e-07
  42200      1.23e-02    1.25e-02      3.96e-04    4.11e-04      9.33e-03    9.43e-03    2.7e-07
  42300      1.33e-02    1.19e-02      5.01e-04    3.28e-04      9.48e-03    9.45e-03    2.7e-07
  42400      1.35e-02    1.12e-02      5.11e-04    2.59e-04      9.59e-03    9.24e-03    2.7e-07
  42500      1.13e-02    1.38e-02      2.67e-04    5.64e-04      9.30e-03    9.27e-03    2.7e-07
  42600      1.51e-02    1.40e-02      6.71e-04    5.88e-04      9.42e-03    9.28e-03    2.7e-07
  42700      1.24e-02    1.14e-02      4.06e-04    2.94e-04      9.42e-03    9.22e-03    2.7e-07
  42800      1.23e-02    1.28e-02      4.22e-04    4.63e-04      9.13e-03    9.24e-03    2.7e-07
  42900      1.18e-02    1.15e-02      3.52e-04    3.02e-04      9.24e-03    9.22e-03    2.7e-07
  43000      1.12e-02    1.21e-02      2.59e-04    3.69e-04      9.28e-03    9.34e-03    2.7e-07
  43100      1.32e-02    1.34e-02      5.15e-04    5.42e-04      9.23e-03    9.11e-03    2.7e-07
  43200      1.22e-02    1.12e-02      3.92e-04    3.06e-04      9.30e-03    8.98e-03    2.7e-07
  43300      1.15e-02    1.11e-02      3.33e-04    2.46e-04      9.04e-03    9.19e-03    2.7e-07
  43400      1.26e-02    1.18e-02      4.63e-04    3.25e-04      9.10e-03    9.38e-03    2.7e-07
  43500      1.21e-02    1.85e-02      3.64e-04    9.63e-04      9.46e-03    9.30e-03    2.7e-07
  43600      1.32e-02    1.69e-02      4.96e-04    8.36e-04      9.40e-03    9.32e-03    2.7e-07
  43700      1.16e-02    1.30e-02      2.99e-04    4.64e-04      9.38e-03    9.53e-03    2.7e-07
  43800      1.30e-02    1.95e-02      4.64e-04    1.03e-03      9.51e-03    9.37e-03    2.7e-07
  43900      1.14e-02    1.16e-02      2.78e-04    3.10e-04      9.29e-03    9.29e-03    2.7e-07
  44000      1.26e-02    1.23e-02      4.44e-04    4.26e-04      9.29e-03    9.13e-03    2.7e-07
  44100      1.15e-02    1.28e-02      3.39e-04    4.54e-04      9.02e-03    9.43e-03    2.7e-07
  44200      1.31e-02    1.81e-02      5.01e-04    9.22e-04      9.27e-03    9.40e-03    2.7e-07
  44300      1.22e-02    1.08e-02      3.90e-04    2.16e-04      9.32e-03    9.10e-03    2.7e-07
  44400      1.89e-02    1.16e-02      9.92e-04    2.87e-04      9.20e-03    9.43e-03    2.7e-07
  44500      1.30e-02    1.45e-02      4.77e-04    6.16e-04      9.36e-03    9.47e-03    2.7e-07
  44600      1.25e-02    1.18e-02      4.27e-04    3.72e-04      9.34e-03    9.04e-03    2.7e-07
  44700      1.17e-02    1.21e-02      3.19e-04    3.83e-04      9.31e-03    9.30e-03    2.7e-07
  44800      1.17e-02    1.15e-02      3.63e-04    2.85e-04      9.00e-03    9.38e-03    2.7e-07
  44900      1.23e-02    1.52e-02      3.99e-04    6.88e-04      9.37e-03    9.35e-03    2.7e-07
  45000      1.08e-02    1.21e-02      3.29e-04    4.61e-04      9.07e-03    9.19e-03    9.8e-08
  45100      1.30e-02    1.28e-02      5.48e-04    4.98e-04      9.24e-03    9.59e-03    9.8e-08
  45200      1.34e-02    1.46e-02      5.89e-04    6.80e-04      9.16e-03    9.33e-03    9.8e-08
  45300      1.06e-02    1.09e-02      3.06e-04    3.14e-04      9.04e-03    9.27e-03    9.8e-08
  45400      1.34e-02    1.41e-02      5.75e-04    6.30e-04      9.43e-03    9.51e-03    9.8e-08
  45500      1.07e-02    1.24e-02      2.90e-04    4.71e-04      9.27e-03    9.41e-03    9.8e-08
  45600      1.06e-02    1.13e-02      2.50e-04    3.57e-04      9.42e-03    9.30e-03    9.8e-08
  45700      1.33e-02    1.14e-02      5.63e-04    3.74e-04      9.37e-03    9.33e-03    9.8e-08
  45800      1.21e-02    1.53e-02      4.82e-04    7.44e-04      8.98e-03    9.26e-03    9.8e-08
  45900      1.15e-02    1.12e-02      3.99e-04    3.16e-04      9.14e-03    9.55e-03    9.8e-08
  46000      1.09e-02    1.03e-02      3.04e-04    2.03e-04      9.31e-03    9.30e-03    9.8e-08
  46100      1.28e-02    1.83e-02      5.04e-04    9.79e-04      9.48e-03    9.22e-03    9.8e-08
  46200      1.12e-02    1.09e-02      3.77e-04    3.03e-04      9.08e-03    9.33e-03    9.8e-08
  46300      1.12e-02    1.28e-02      3.39e-04    5.19e-04      9.33e-03    9.39e-03    9.8e-08
  46400      1.08e-02    1.17e-02      2.85e-04    3.94e-04      9.38e-03    9.39e-03    9.8e-08
  46500      1.23e-02    1.18e-02      4.75e-04    4.27e-04      9.28e-03    9.22e-03    9.8e-08
  46600      1.23e-02    1.07e-02      4.62e-04    2.42e-04      9.42e-03    9.52e-03    9.8e-08
  46700      1.16e-02    1.25e-02      3.94e-04    4.91e-04      9.35e-03    9.31e-03    9.8e-08
  46800      1.06e-02    1.12e-02      2.52e-04    3.32e-04      9.34e-03    9.43e-03    9.8e-08
  46900      1.07e-02    1.01e-02      3.11e-04    1.95e-04      9.07e-03    9.21e-03    9.8e-08
  47000      1.09e-02    1.05e-02      3.11e-04    2.98e-04      9.29e-03    8.98e-03    9.8e-08
  47100      1.09e-02    1.21e-02      3.05e-04    4.34e-04      9.32e-03    9.49e-03    9.8e-08
  47200      1.40e-02    1.39e-02      6.24e-04    6.20e-04      9.45e-03    9.44e-03    9.8e-08
  47300      1.21e-02    1.11e-02      4.47e-04    2.92e-04      9.41e-03    9.63e-03    9.8e-08
  47400      1.11e-02    1.14e-02      3.53e-04    3.78e-04      9.11e-03    9.26e-03    9.8e-08
  47500      1.39e-02    1.20e-02      6.30e-04    4.39e-04      9.18e-03    9.32e-03    9.8e-08
  47600      1.14e-02    1.11e-02      3.40e-04    3.62e-04      9.58e-03    9.02e-03    9.8e-08
  47700      1.35e-02    1.21e-02      5.83e-04    4.50e-04      9.34e-03    9.33e-03    9.8e-08
  47800      1.41e-02    1.18e-02      6.35e-04    4.02e-04      9.39e-03    9.47e-03    9.8e-08
  47900      1.17e-02    1.25e-02      3.93e-04    4.65e-04      9.40e-03    9.61e-03    9.8e-08
  48000      1.16e-02    1.11e-02      3.78e-04    3.41e-04      9.44e-03    9.22e-03    9.8e-08
  48100      1.23e-02    1.11e-02      4.89e-04    3.40e-04      9.17e-03    9.25e-03    9.8e-08
  48200      1.04e-02    1.18e-02      2.32e-04    3.96e-04      9.28e-03    9.54e-03    9.8e-08
  48300      1.16e-02    1.55e-02      4.15e-04    7.29e-04      9.10e-03    9.82e-03    9.8e-08
  48400      1.11e-02    1.08e-02      3.59e-04    2.48e-04      9.10e-03    9.60e-03    9.8e-08
  48500      1.17e-02    1.14e-02      4.33e-04    3.70e-04      9.07e-03    9.34e-03    9.8e-08
  48600      1.10e-02    1.29e-02      3.53e-04    5.17e-04      9.09e-03    9.44e-03    9.8e-08
  48700      1.06e-02    1.06e-02      3.03e-04    2.65e-04      9.03e-03    9.34e-03    9.8e-08
  48800      1.10e-02    1.05e-02      3.22e-04    2.66e-04      9.33e-03    9.13e-03    9.8e-08
  48900      1.14e-02    1.02e-02      3.58e-04    2.02e-04      9.41e-03    9.20e-03    9.8e-08
  49000      1.08e-02    1.17e-02      2.99e-04    4.02e-04      9.30e-03    9.36e-03    9.8e-08
  49100      1.09e-02    1.07e-02      3.05e-04    3.19e-04      9.37e-03    9.03e-03    9.8e-08
  49200      1.11e-02    1.92e-02      3.46e-04    1.04e-03      9.24e-03    9.35e-03    9.8e-08
  49300      1.88e-02    1.15e-02      1.01e-03    3.90e-04      9.38e-03    9.23e-03    9.8e-08
  49400      1.15e-02    1.17e-02      3.91e-04    4.18e-04      9.26e-03    9.22e-03    9.8e-08
  49500      1.05e-02    1.14e-02      2.66e-04    3.79e-04      9.17e-03    9.21e-03    9.8e-08
  49600      1.15e-02    1.04e-02      3.94e-04    2.72e-04      9.26e-03    8.99e-03    9.8e-08
  49700      1.22e-02    1.11e-02      4.74e-04    3.09e-04      9.22e-03    9.48e-03    9.8e-08
  49800      1.11e-02    1.04e-02      3.24e-04    2.79e-04      9.36e-03    9.02e-03    9.8e-08
  49900      1.12e-02    1.11e-02      3.53e-04    3.56e-04      9.24e-03    9.15e-03    9.8e-08
  50000      1.38e-02    1.02e-02      6.34e-04    2.39e-04      9.27e-03    9.32e-03    3.5e-08
